"cenario","metodo","percentual_p","media_r","sd_r","n_r","media_rmse","sd_rmse","n_rmse","media_delta_r","sd_delta_r","n.x","media_delta_rmse","sd_delta_rmse","n.y"
"C3","RF",25,0.780750002647244,0.04758368369461,5,0.473895423840944,0.0394913212392565,5,0.00141567770920725,0.0122317345981014,5,-0.00539236516660827,0.00641415161038001,5
"C3","RF",10,0.771050612721826,0.0446304959529332,5,0.477076458382316,0.0394196155735593,5,0.0111150676346253,0.0103917141393736,5,-0.00221133062523583,0.00591297019823869,5
"C3","RF",5,0.740390549018805,0.0504592016647485,5,0.491352483865431,0.0418463702254031,5,0.041775131337646,0.0178568926658607,5,0.0120646948578791,0.00796731357262179,5
"C3","RF",1,0.611356933004137,0.0626430545730714,5,0.553590722934225,0.0442021012230193,5,0.170808747352314,0.0497538434018606,5,0.0743029339266732,0.0239443292848367,5
"C3","TREE",100,0.358074328215802,0.0611871318318084,5,0.725193171658705,0.0365235591024799,5,0,0,5,0,0,5
"C3","TREE",50,0.356303858912141,0.0573284509992741,5,0.726939095874662,0.0338188459769914,5,0.00177046930366119,0.00516795141260255,5,0.00174592421595665,0.0036135096434501,5
"C3","TREE",25,0.356303858912141,0.0573284509992741,5,0.726939095874662,0.0338188459769914,5,0.00177046930366119,0.00516795141260255,5,0.00174592421595665,0.0036135096434501,5
"C3","TREE",10,0.356303858912141,0.0573284509992741,5,0.726939095874662,0.0338188459769914,5,0.00177046930366119,0.00516795141260255,5,0.00174592421595665,0.0036135096434501,5
"C3","TREE",5,0.356303858912141,0.0573284509992741,5,0.726939095874662,0.0338188459769914,5,0.00177046930366119,0.00516795141260255,5,0.00174592421595665,0.0036135096434501,5
"C3","TREE",1,0.312092240221396,0.0848398207375923,5,0.688597430952946,0.0357491569865069,5,0.0459820879944065,0.0562650566817512,5,-0.0365957407057588,0.0206231766072766,5
"C4","BAGGING",100,0.836151501013272,0.0133024369973734,5,0.366291580724033,0.0154599385804995,5,0,0,5,0,0,5
"C4","BAGGING",50,0.838583834119728,0.0155958755051639,5,0.36440239002037,0.0152273134497765,5,-0.00243233310645525,0.00553338470749968,5,-0.00188919070366333,0.00429597965333678,5
"C4","BAGGING",25,0.831842876130646,0.0134410684997245,5,0.365376945976064,0.0126492722983339,5,0.00430862488262638,0.0108731240814953,5,-0.000914634747969278,0.00474885050909528,5
"C4","BAGGING",10,0.828510314668491,0.010996224403872,5,0.363033036093268,0.0140047638894842,5,0.00764118634478155,0.00849631575942151,5,-0.00325854463076529,0.0058666388553738,5
"C4","BAGGING",5,0.808095398499674,0.0144769219454356,5,0.369633036838904,0.0116351116520826,5,0.0280561025135987,0.00628979114251208,5,0.00334145611487094,0.00580585881569931,5
"C4","BAGGING",1,0.700320938087076,0.0188068587395285,5,0.420909058692956,0.0245909944022185,5,0.135830562926196,0.0210536489167688,5,0.0546174779689226,0.011045101759273,5
"C4","BOOSTING",100,0.826709667129269,0.0172223392421628,5,0.372188221966695,0.0144504704328649,5,0,0,5,0,0,5
"C4","BOOSTING",50,0.825321106014045,0.0161872054171656,5,0.372933495232911,0.0147172895011571,5,0.00138856111522359,0.00578872339864472,5,0.00074527326621594,0.00219822502902179,5
"C4","BOOSTING",25,0.824882151251892,0.0173318666716232,5,0.372572855259103,0.0142513130321146,5,0.00182751587737702,0.00803788159036419,5,0.000384633292407566,0.00294804132787766,5
"C4","BOOSTING",10,0.811111199711117,0.0182345634587338,5,0.378189139848707,0.0160262827609305,5,0.0155984674181522,0.00443985560277274,5,0.0060009178820122,0.00232992951855953,5
"C4","BOOSTING",5,0.804277025620026,0.0203814328965537,5,0.381063451206208,0.0136937591604941,5,0.0224326415092431,0.00626419165085097,5,0.00887522923951319,0.00202458502768517,5
"C4","BOOSTING",1,0.726052957152957,0.0265632608286859,5,0.41356798781417,0.0116047861439799,5,0.100656709976312,0.0169105564907119,5,0.0413797658474754,0.00688991698515177,5
"C4","GBLUP",100,0.850559025680089,0.0158895811873427,5,0.309947451189813,0.0111846872956031,5,0,0,5,0,0,5
"C4","GBLUP",50,0.843344591253277,0.0177111784694214,5,0.317516162698938,0.0124157888363102,5,0.00721443442681211,0.00262730887105215,5,0.00756871150912437,0.00369711150696506,5
"C4","GBLUP",25,0.834054768623519,0.0142725839618947,5,0.328150182388708,0.010060317364006,5,0.0165042570565702,0.00366780683194639,5,0.0182027311988943,0.002903477557096,5
"C4","GBLUP",10,0.818410725212428,0.015230252458914,5,0.344826803788166,0.00873200455441542,5,0.0321483004676616,0.00659018031862172,5,0.0348793525983524,0.00625709584168749,5
"C4","GBLUP",5,0.783255970804891,0.0305572801693379,5,0.37610359071107,0.0201412469625927,5,0.0673030548751984,0.0177090652229661,5,0.0661561395212561,0.0155462326215476,5
"C4","GBLUP",1,0.63188432749012,0.0458637604975612,5,0.466717652769705,0.0157874495453719,5,0.218674698189969,0.0385283424375108,5,0.156770201579892,0.0146849718093167,5
"C4","MARS",100,0.622925860777418,0.0446918974689534,5,0.479492874630868,0.0291923664815147,5,0,0,5,0,0,5
"C4","MARS",50,0.622925860777418,0.0446918974689534,5,0.479492874630868,0.0291923664815147,5,0,0,5,0,0,5
"C4","MARS",25,0.622925860777418,0.0446918974689534,5,0.479492874630868,0.0291923664815147,5,0,0,5,0,0,5
"C4","MARS",10,0.622925860777418,0.0446918974689534,5,0.479492874630868,0.0291923664815147,5,0,0,5,0,0,5
"C4","MARS",5,0.622925860777418,0.0446918974689534,5,0.479492874630868,0.0291923664815147,5,0,0,5,0,0,5
"C4","MARS",1,0.622925860777418,0.0446918974689534,5,0.479492874630868,0.0291923664815147,5,0,0,5,0,0,5
"C4","RF",100,0.839936997288356,0.0125429503798596,5,0.364953082320519,0.016307718603406,5,0,0,5,0,0,5
"C4","RF",50,0.83400287778988,0.0123604505690515,5,0.367909133414756,0.0161745972477343,5,0.00593411949847673,0.00443485282671242,5,0.00295605109423633,0.000566614976010314,5
"C4","RF",25,0.828429677470319,0.0168532311627717,5,0.367029674304227,0.013888831671303,5,0.0115073198180371,0.00789712973966651,5,0.0020765919837079,0.00335685816473974,5
"C4","RF",10,0.818231590312127,0.010120018294518,5,0.369812085303137,0.0158593696400549,5,0.0217054069762296,0.00460276585789652,5,0.00485900298261799,0.00261652353806493,5
"C4","RF",5,0.795577857527981,0.0170196095454044,5,0.379615430614813,0.0172219323828798,5,0.0443591397603754,0.00979575560567186,5,0.0146623482942935,0.00887918538760297,5
"C4","RF",1,0.701833068036192,0.0233359361951146,5,0.421024368056137,0.0242031306411586,5,0.138103929252165,0.0186582448548979,5,0.0560712857356177,0.0104946095230503,5
"C4","TREE",100,0.422198693691972,0.0257114599912686,5,0.613714847093968,0.0317196173932163,5,0,0,5,0,0,5
"C4","TREE",50,0.426272264650633,0.0236370073016839,5,0.611636552223123,0.033736546656846,5,-0.00407357095866053,0.00925433610199634,5,-0.00207829487084465,0.00467316783219305,5
"C4","TREE",25,0.426272264650633,0.0236370073016839,5,0.611636552223123,0.033736546656846,5,-0.00407357095866053,0.00925433610199634,5,-0.00207829487084465,0.00467316783219305,5
"C4","TREE",10,0.426272264650633,0.0236370073016839,5,0.611636552223123,0.033736546656846,5,-0.00407357095866053,0.00925433610199634,5,-0.00207829487084465,0.00467316783219305,5
"C4","TREE",5,0.426272264650633,0.0236370073016839,5,0.611636552223123,0.033736546656846,5,-0.00407357095866053,0.00925433610199634,5,-0.00207829487084465,0.00467316783219305,5
"C4","TREE",1,0.321666118193744,0.031206778249659,5,0.574192132706608,0.0209976504708376,5,0.100532575498228,0.0554009018763396,5,-0.0395227143873597,0.0251990264728469,5
