"cenario","fold","metodo","percentual_p","p","n_treino","n_teste","seed","runtime_seconds","r_true_g","rmse_true_g","mae_true_g","bias_true_g","slope_true_g","r2_true_g","r_phenotype","rmse_phenotype","r_baseline","rmse_baseline","delta_r","delta_rmse"
"C1",1,"BOOSTING",5,201,800,200,20362513,2.39000000000001,0.933514029966458,0.843724040355711,0.678427401131139,-0.0679206786075578,1.40256400455716,0.798351304387576,0.770173142443534,1.55779775831021,0.928432106793855,0.883796582953937,-0.00508192317260325,-0.040072542598226
"C1",1,"BOOSTING",1,40,800,200,20362509,0.430000000000007,0.947424037029299,0.749124754519025,0.604313259547104,-0.0655228963665104,1.33040241380388,0.841034505102348,0.786170320706674,1.49817933682512,0.928432106793855,0.883796582953937,-0.0189919302354444,-0.134671828434912
"C1",2,"GBLUP",100,4010,800,200,20363108,17.47,0.624042063613545,1.50649186304849,1.17820846457692,0.207572148668228,0.995662198163079,0.377605102138971,0.529260345681148,1.91957217505139,0.624042063613545,1.50649186304849,0,0
"C1",2,"GBLUP",50,2005,800,200,20363058,15.67,0.614101200530317,1.52822583331347,1.19789315981289,0.219481636439095,0.902590806423807,0.359517132973106,0.518980841196537,1.93907176721282,0.624042063613545,1.50649186304849,0.00994086308322739,0.021733970264983
"C1",2,"GBLUP",25,1003,800,200,20363033,14.67,0.610493353793421,1.53966984235234,1.20653598773784,0.238303960329009,0.8776768334936,0.349888797300102,0.519453090661112,1.94220133512498,0.624042063613545,1.50649186304849,0.0135487098201239,0.0331779793038463
"C1",2,"GBLUP",10,401,800,200,20363018,11.75,0.62288620645222,1.51404751706422,1.19945536343585,0.201734957661551,0.893777768878203,0.371346331908484,0.527136598135953,1.92732193822382,0.624042063613545,1.50649186304849,0.00115585716132427,0.00755565401573088
"C1",2,"GBLUP",5,201,800,200,20363013,9.33000000000001,0.617624606700699,1.52071300555433,1.1933287995103,0.206304199700315,0.90722532206234,0.365798939957421,0.50371255638644,1.9609911757541,0.624042063613545,1.50649186304849,0.00641745691284556,0.0142211425058378
"C1",2,"GBLUP",1,40,800,200,20363009,11.22,0.6294796799308,1.49864725490957,1.16094465198321,0.206372564745112,0.965870713984976,0.384070098417288,0.516978306143257,1.93801800903411,0.624042063613545,1.50649186304849,-0.0054376163172557,-0.00784460813892029
"C1",2,"MARS",100,4010,800,200,20363208,41.6,0.79868533427582,1.15358345070872,0.887156822883354,0.101866492310635,1.00038519477641,0.635052429080189,0.644081337135037,1.72720000354154,0.79868533427582,1.15358345070872,0,0
"C1",2,"MARS",50,2005,800,200,20363158,10.73,0.79868533427582,1.15358345070872,0.887156822883354,0.101866492310635,1.00038519477641,0.635052429080189,0.644081337135037,1.72720000354154,0.79868533427582,1.15358345070872,0,0
"C1",2,"MARS",25,1003,800,200,20363133,3.45,0.79868533427582,1.15358345070872,0.887156822883354,0.101866492310635,1.00038519477641,0.635052429080189,0.644081337135037,1.72720000354154,0.79868533427582,1.15358345070872,0,0
"C1",2,"MARS",10,401,800,200,20363118,0.690000000000012,0.79868533427582,1.15358345070872,0.887156822883354,0.101866492310635,1.00038519477641,0.635052429080189,0.644081337135037,1.72720000354154,0.79868533427582,1.15358345070872,0,0
"C1",2,"MARS",5,201,800,200,20363113,0.280000000000001,0.79868533427582,1.15358345070872,0.887156822883354,0.101866492310635,1.00038519477641,0.635052429080189,0.644081337135037,1.72720000354154,0.79868533427582,1.15358345070872,0,0
"C1",2,"MARS",1,40,800,200,20363109,0.0300000000000011,0.79868533427582,1.15358345070872,0.887156822883354,0.101866492310635,1.00038519477641,0.635052429080189,0.644081337135037,1.72720000354154,0.79868533427582,1.15358345070872,0,0
"C1",2,"TREE",100,4010,800,200,20363308,11.27,0.838782119225355,1.05138924407868,0.818936313553427,-0.0294451495816813,0.91250094119861,0.69684865261276,0.65571279258291,1.72681823086356,0.838782119225355,1.05138924407868,0,0
"C1",2,"TREE",50,2005,800,200,20363258,4.5,0.838782119225353,1.05138924407868,0.818936313553427,-0.0294451495816767,0.912500941198614,0.696848652612759,0.65571279258291,1.72681823086356,0.838782119225355,1.05138924407868,1.11022302462516e-15,1.33226762955019e-15
"C1",2,"TREE",25,1003,800,200,20363233,2.03,0.838782119225353,1.05138924407868,0.818936313553427,-0.0294451495816767,0.912500941198614,0.696848652612759,0.65571279258291,1.72681823086356,0.838782119225355,1.05138924407868,1.11022302462516e-15,1.33226762955019e-15
"C1",2,"TREE",10,401,800,200,20363218,0.590000000000003,0.838782119225353,1.05138924407868,0.818936313553427,-0.0294451495816767,0.912500941198614,0.696848652612759,0.65571279258291,1.72681823086356,0.838782119225355,1.05138924407868,1.11022302462516e-15,1.33226762955019e-15
"C1",2,"TREE",5,201,800,200,20363213,0.300000000000011,0.838782119225353,1.05138924407868,0.818936313553427,-0.0294451495816767,0.912500941198614,0.696848652612759,0.65571279258291,1.72681823086356,0.838782119225355,1.05138924407868,1.11022302462516e-15,1.33226762955019e-15
"C1",2,"TREE",1,40,800,200,20363209,0.0400000000000205,0.667045297885699,1.42722776680601,1.18638934800548,0.103075483178035,0.962941499510495,0.441376738686747,0.549148837469953,1.88713613885132,0.838782119225355,1.05138924407868,0.171736821339655,0.375838522727328
"C1",2,"BAGGING",100,4010,800,200,20363408,594.25,0.861848511033302,0.978804120139219,0.777812314533334,0.125296027733321,1.04217073884907,0.737261315670661,0.706469258855613,1.59769367631232,0.861848511033302,0.978804120139219,0,0
"C1",2,"BAGGING",50,2005,800,200,20363358,273.13,0.864502984807123,0.969900530536188,0.7711587488,0.12151130606665,1.043464403988,0.742019525595871,0.710003641919892,1.58958997671394,0.861848511033302,0.978804120139219,-0.00265447377382133,-0.00890358960303106
"C1",2,"BAGGING",25,1003,800,200,20363333,135.73,0.866490922523763,0.961596773829797,0.768657176933341,0.1120350262,1.03680850038718,0.746417990852529,0.71458798005953,1.57868449906641,0.861848511033302,0.978804120139219,-0.00464241149046185,-0.0172073463094224
"C1",2,"BAGGING",10,401,800,200,20363318,53.24,0.877281700940309,0.921980510403819,0.748504657516672,0.0929802358166605,1.0224282567676,0.766881937664133,0.729809797948833,1.54218719503018,0.861848511033302,0.978804120139219,-0.0154331899070075,-0.0568236097354006
"C1",2,"BAGGING",5,201,800,200,20363313,26.9100000000001,0.886425931167368,0.885370737664581,0.709406326066661,0.0509801477666606,1.00368968546031,0.785027567180904,0.732737610369651,1.53493527790573,0.861848511033302,0.978804120139219,-0.0245774201340661,-0.0934333824746389
"C1",2,"BAGGING",1,40,800,200,20363309,5.71000000000004,0.865126361541862,0.972241854018332,0.765476260661656,0.0586493416623827,0.913399975647591,0.740772501255719,0.689640852169193,1.65253546974765,0.861848511033302,0.978804120139219,-0.00327785050856022,-0.00656226612088762
"C1",2,"RF",100,4010,800,200,20363508,220.2,0.867088517724757,0.963597796517001,0.768509023933337,0.126848375466661,1.05535303280876,0.745361516194313,0.715516945741724,1.57772770561507,0.867088517724757,0.963597796517001,0,0
"C1",2,"RF",50,2005,800,200,20363458,105.28,0.866134047076661,0.96388553191352,0.773521540016673,0.116731566316666,1.04241267905916,0.7452094206944,0.717409578109152,1.57258040121201,0.867088517724757,0.963597796517001,0.000954470648096839,0.000287735396519051
"C1",2,"RF",25,1003,800,200,20363433,54.9699999999999,0.867788589093835,0.955898437733229,0.769564084866667,0.0957047668666652,1.04031014214731,0.749414494373685,0.721408499392448,1.56258246916509,0.867088517724757,0.963597796517001,-0.000700071369077349,-0.00769935878377159
"C1",2,"RF",10,401,800,200,20363418,23.36,0.889152854957506,0.879793426331261,0.703073229683329,0.087807555449987,1.03179917152156,0.787727434570452,0.740141344853087,1.51697694565436,0.867088517724757,0.963597796517001,-0.0220643372327488,-0.0838043701857395
